"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge"
"320",484816167489998,2018,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,2215.33901817,32,122,72,48.5784049683689
"321",484816175489998,2018,0,12,48,"True fir","Woodland hardwoods","Forest Service",10,2670.54360405319,49,NA,142,NA
"322",484816176489998,2018,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1616.5016928433,81,NA,94,49.7200175473548
"323",484816177489998,2018,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,7941.68351256863,65,NA,130,NA
"324",484816178489998,2018,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,311.689672215436,106,NA,58,51.1998782552439
"325",484816180489998,2018,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Forest Service",10,3969.8221925054,46,NA,66,NA
"326",484816182489998,2018,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Other Federal",20,937.55012434329,55,NA,58,NA
"327",484816183489998,2018,0,12,NA,"True fir",NA,"Forest Service",10,7583.2011709179,73,NA,120,NA
"328",484816189489998,2018,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Other Federal",20,479.749805324852,75,NA,63,NA
"329",484816190489998,2018,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,1387.15070832801,116,23,43,52.0345270722714
