"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge","county"
"179",412222210489998,2017,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,2669.39143882665,68,NA,39.0714285714286,20.0893718567362,"tehama"
"180",412222243489998,2017,0,12,14,"True fir","Sugar pine","Private and Native American",40,1964.73366014985,22,34,61.75,NA,"tehama"
"181",412222244489998,2017,0,12,20,"True fir","Incense-cedar","Forest Service",10,20400.8295968096,51,92.8333333333333,90.7272727272727,NA,"tehama"
"182",412222309489998,2017,0,10,46,"Douglas-fir","Oak","Private and Native American",40,1536.0454592354,50,54,54.8333333333333,54.7197793183344,"tehama"
"183",412222399489998,2017,0,46,NA,"Oak",NA,"Private and Native American",40,1027.24942315482,105,NA,19.6,5.59592674539846,"tehama"
"184",412222499489998,2017,0,12,14,"True fir","Sugar pine","Forest Service",10,896.258502270068,22,NA,64.1666666666667,NA,"tehama"
"185",412222500489998,2017,0,20,10,"Incense-cedar","Douglas-fir","Forest Service",10,17702.4651406258,64,138.5,107.285714285714,NA,"tehama"
"186",484816556489998,2018,0,10,46,"Douglas-fir","Oak","Forest Service",10,6414.08816022172,82,81.5,117.466666666667,82.2149771167498,"tehama"
"187",484816558489998,2018,0,46,NA,"Oak",NA,"Private and Native American",40,493.628911215972,97,NA,31,9.84916145683993,"tehama"
"188",484816559489998,2018,0,10,46,"Douglas-fir","Oak","Forest Service",10,7459.73138685528,60,166.75,121.411764705882,131.237150003642,"tehama"
"189",484816562489998,2018,0,12,20,"True fir","Incense-cedar","Forest Service",10,14179.1357702335,48,129.5,110.1,NA,"tehama"
"190",484816563489998,2018,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3766.79138752327,66,86.3333333333333,83,84.9889399015192,"tehama"
"191",484816564489998,2018,0,46,24,"Oak","Other western softwoods","Forest Service",10,387.959327456956,77,NA,28.5,11.3832424910039,"tehama"
"192",484816566489998,2018,0,46,10,"Oak","Douglas-fir","Forest Service",10,7699.58727306675,41,NA,46.875,66.2033683255382,"tehama"
"193",484816568489998,2018,0,12,20,"True fir","Incense-cedar","Private and Native American",40,11170.6362876201,43,116.666666666667,71.5833333333333,NA,"tehama"
"194",484816571489998,2018,NA,24,NA,"Other western softwoods",NA,"Forest Service",10,0,83,NA,NA,NA,"tehama"
"195",484816572489998,2018,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,1510.12382016266,64,97.4,47.7692307692308,37.1229829741352,"tehama"
"196",484816573489998,2018,0,46,10,"Oak","Douglas-fir","Forest Service",10,8070.51155841283,68,NA,60.2857142857143,40.0506017872445,"tehama"
"197",484816577489998,2018,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1485.7850680272,102,NA,32.1428571428571,9.74977878557907,"tehama"
"198",484816587489998,2018,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1684.80866689237,44,95,70.75,NA,"tehama"
"199",484816589489998,2018,0,46,10,"Oak","Douglas-fir","Forest Service",10,8985.2882832696,62,NA,67,58.2776562873962,"tehama"
