"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"171",345936739489998,2016,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,459.397790142338,74,NA,32
"172",345936740489998,2016,0,10,12,"Douglas-fir","True fir","Forest Service",10,6483.66244498241,43,NA,168
"173",345936741489998,2016,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,5663.63821658289,55,688,155
"174",412219784489998,2017,0,10,46,"Douglas-fir","Oak","Forest Service",10,7685.19838103431,43,NA,150
"175",412220178489998,2017,0,24,46,"Other western softwoods","Oak","Private and Native American",40,489.500826451762,101,NA,92
"176",412221095489998,2017,0,20,10,"Incense-cedar","Douglas-fir","Private and Native American",40,9953.58349199269,65,NA,115
"177",412221373489998,2017,0,10,12,"Douglas-fir","True fir","Forest Service",10,3822.9830858953,59,NA,140
"178",412221993489998,2017,0,46,NA,"Oak",NA,"State and local government",30,42.647563018198,87,NA,30
"179",412222210489998,2017,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,2669.39143882665,68,NA,57
"180",412222243489998,2017,0,12,14,"True fir","Sugar pine","Private and Native American",40,1964.73366014985,22,NA,80
"181",412222244489998,2017,0,12,20,"True fir","Incense-cedar","Forest Service",10,20400.8295968096,51,NA,142
"182",412222309489998,2017,0,10,46,"Douglas-fir","Oak","Private and Native American",40,1536.0454592354,50,54,60
"183",412222399489998,2017,0,46,NA,"Oak",NA,"Private and Native American",40,1027.24942315482,105,NA,46
"184",412222499489998,2017,0,12,14,"True fir","Sugar pine","Forest Service",10,896.258502270068,22,NA,95
"185",412222500489998,2017,0,20,10,"Incense-cedar","Douglas-fir","Forest Service",10,17702.4651406258,64,NA,121
"186",484816556489998,2018,0,10,46,"Douglas-fir","Oak","Forest Service",10,6414.08816022172,82,NA,153
"187",484816558489998,2018,0,46,NA,"Oak",NA,"Private and Native American",40,493.628911215972,97,NA,36
"188",484816559489998,2018,0,10,46,"Douglas-fir","Oak","Forest Service",10,7459.73138685528,60,NA,182
